"Number","Status","Date/Time","Qty.","Total amount","Items Description","Subtotal","Discount","Sales tax","Delivery","Total","Profits","Payment Method","Customer","Salesperson","Observation"
"17119-2","Sale","06/29/2026 4:28 PM",1,2,"2xCascão ","18",0,0,0,"18","15.6","Tarjeta Débito","","Lucas",""
"17120-2","Sale","06/29/2026 4:33 PM",1,1,"1xCopo 200ml","9",0,0,0,"9","1","Efectivo","","Lucas",""
"17121-2","Sale","06/29/2026 4:59 PM",1,1,"1xChurros de chocolate ","10",0,0,0,"10","2","Efectivo","","Lucas",""
"17122-2","Sale","06/29/2026 5:22 PM",1,2,"2xMilkshake 400ml","28",0,0,0,"28","2","Efectivo","","Lucas",""
"17123-2","Sale","06/29/2026 5:26 PM",2,2,"1xMilkshake 300ml, 1xCombo 2","27",0,0,0,"27","2","Efectivo","","Lucas",""
"17124-2","Sale","06/29/2026 5:40 PM",1,1,"1xCascão ","9",0,0,0,"9","7.8","Efectivo","","Lucas",""
"17125-2","Sale","06/29/2026 5:47 PM",2,2,"1xCrepe suíço doce, 1xChurros doce de leite ","21",0,0,0,"21","5","Efectivo","","Lucas",""
"17126-2","Sale","06/29/2026 5:56 PM",1,1,"1xCrepe suíço doce","11",0,0,0,"11","3","Tarjeta Débito","","Lucas",""
"17127-2","Sale","06/29/2026 5:57 PM",1,2,"2xCrepe suíço doce","22",0,0,0,"22","6","Tarjeta Débito","","Lucas",""
"17128-2","Sale","06/30/2026 2:21 PM",1,1,"1xMilkshake 300ml","11",0,0,0,"11","1","Efectivo","","Lucas",""
"17129-2","Sale","06/30/2026 2:28 PM",1,2,"2xCascão ","18",0,0,0,"18","15.6","Efectivo","","Lucas",""
"17130-2","Sale","06/30/2026 3:01 PM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Efectivo","","Lucas",""
"17131-2","Sale","06/30/2026 3:04 PM",2,3,"2xMilkshake 300ml, 1xCascão ","31",0,0,0,"31","9.8","Efectivo","","Lucas",""
"17132-2","Sale","06/30/2026 3:15 PM",1,2,"2xCopo 250ml","22",0,0,0,"22","2","Efectivo","","Lucas",""
